Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
109,13,UIUC,13,UIUC-13,a,2.5,std,91.25,0.4018,0.3013,1446,1440,0,3.65,6,31.66
110,13,UIUC,13,UIUC-13,b,2.5,std,91.25,0.4018,0.3013,1446,1440,0,3.65,6,31.66
111,13,UIUC,13,UIUC-13,c,2.5,std,91.25,0.4018,0.3013,1446,1440,0,3.65,6,31.66
112,13,UIUC,13,UIUC-13,a,0.41,15mg,14.965,0.4018,0.3013,8819,8780,0,3.65,6,31.66
113,13,UIUC,13,UIUC-13,b,0.41,15mg,14.965,0.4018,0.3013,8819,8780,0,3.65,6,31.66
114,13,UIUC,13,UIUC-13,c,0.41,15mg,14.965,0.4018,0.3013,8819,8780,0,3.65,6,31.66
115,13,UIUC,13,UIUC-13,a,0.68,25mg,24.82,0.4018,0.3013,5317,5294,0,3.65,6,31.66
116,13,UIUC,13,UIUC-13,b,0.68,25mg,24.82,0.4018,0.3013,5317,5294,0,3.65,6,31.66
117,13,UIUC,13,UIUC-13,c,0.68,25mg,24.82,0.4018,0.3013,5317,5294,0,3.65,6,31.66
118,14,UIUC,14,UIUC-14,a,2.5,std,28.5,0.4018,0.3013,1446,1440,0,1.14,8.1,27.46
119,14,UIUC,14,UIUC-14,b,2.5,std,28.5,0.4018,0.3013,1446,1440,0,1.14,8.1,27.46
120,14,UIUC,14,UIUC-14,c,2.5,std,28.5,0.4018,0.3013,1446,1440,0,1.14,8.1,27.46
121,14,UIUC,14,UIUC-14,a,0.48,15mg,5.472,0.4018,0.3013,7533,7500,0,1.14,8.1,27.46
122,14,UIUC,14,UIUC-14,b,0.48,15mg,5.472,0.4018,0.3013,7533,7500,0,1.14,8.1,27.46
123,14,UIUC,14,UIUC-14,c,0.48,15mg,5.472,0.4018,0.3013,7533,7500,0,1.14,8.1,27.46
124,14,UIUC,14,UIUC-14,a,0.8,25mg,9.12,0.4018,0.3013,4520,4500,0,1.14,8.1,27.46
125,14,UIUC,14,UIUC-14,b,0.8,25mg,9.12,0.4018,0.3013,4520,4500,0,1.14,8.1,27.46
126,14,UIUC,14,UIUC-14,c,0.8,25mg,9.12,0.4018,0.3013,4520,4500,0,1.14,8.1,27.46
